	Concurso	Data	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Arrecadacao	Ganhadores	Numero1	Numero2	Numero3	Numero4	Numero5	Numero6	Numero7	Numero8	Numero9	Numero10	Numero11	NUmero12	Numero13	Numero14	Numero15										
1	1	29/09/2003	18	20	25	23	10	11	24	14	6	2	13	9	5	16	3	0	5	#N/A	2	3	#N/A	5	6	#N/A	#N/A	9	10	11	#N/A	13	14	#N/A	16	#N/A	18	#N/A	20	#N/A	#N/A	23	24	25
1	2	06/10/2003	23	15	5	4	12	16	20	6	11	19	24	1	9	13	7	0	1	1	#N/A	#N/A	4	5	6	7	#N/A	9	#N/A	11	12	13	#N/A	15	16	#N/A	#N/A	19	20	#N/A	#N/A	23	24	#N/A
1	3	13/10/2003	20	23	12	8	6	1	7	11	14	4	16	10	9	17	24	0	2	1	#N/A	#N/A	4	#N/A	6	7	8	9	10	11	12	#N/A	14	#N/A	16	17	#N/A	#N/A	20	#N/A	#N/A	23	24	#N/A
1	4	20/10/2003	16	5	25	24	23	8	12	2	17	18	1	10	4	19	13	0	1	1	2	#N/A	4	5	#N/A	#N/A	8	#N/A	10	#N/A	12	13	#N/A	#N/A	16	17	18	19	#N/A	#N/A	#N/A	23	24	25
1	5	27/10/2003	15	13	20	2	11	24	9	16	4	23	25	12	8	19	1	0	2	1	2	#N/A	4	#N/A	#N/A	#N/A	8	9	#N/A	11	12	13	#N/A	15	16	#N/A	#N/A	19	20	#N/A	#N/A	23	24	25
1	6	03/11/2003	23	19	1	5	7	21	16	10	15	25	6	2	12	4	17	0	2	1	2	#N/A	4	5	6	7	#N/A	#N/A	10	#N/A	12	#N/A	#N/A	15	16	17	#N/A	19	#N/A	21	#N/A	23	#N/A	25
1	7	10/11/2003	22	4	15	8	16	14	21	23	12	1	25	19	7	10	18	0	9	1	#N/A	#N/A	4	#N/A	#N/A	7	8	#N/A	10	#N/A	12	#N/A	14	15	16	#N/A	18	19	#N/A	21	22	23	#N/A	25
1	8	17/11/2003	19	16	18	9	13	8	5	25	17	10	6	15	1	22	20	0	1	1	#N/A	#N/A	#N/A	5	6	#N/A	8	9	10	#N/A	#N/A	13	#N/A	15	16	17	18	19	20	#N/A	22	#N/A	#N/A	25
1	9	24/11/2003	21	4	17	5	3	13	16	9	20	24	25	19	11	15	10	0	3	#N/A	#N/A	3	4	5	#N/A	#N/A	#N/A	9	10	11	#N/A	13	#N/A	15	16	17	#N/A	19	20	21	#N/A	#N/A	24	25
1	10	01/12/2003	24	19	8	23	6	2	20	11	9	3	4	10	5	12	14	0	0	#N/A	2	3	4	5	6	#N/A	8	9	10	11	12	#N/A	14	#N/A	#N/A	#N/A	#N/A	19	20	#N/A	#N/A	23	24	#N/A
1	11	08/12/2003	24	9	8	19	20	22	6	10	11	16	7	25	23	2	12	0	0	#N/A	2	#N/A	#N/A	#N/A	6	7	8	9	10	11	12	#N/A	#N/A	#N/A	16	#N/A	#N/A	19	20	#N/A	22	23	24	25
1	12	15/12/2003	11	5	25	1	9	8	16	4	7	24	17	2	12	14	10	0	1	1	2	#N/A	4	5	#N/A	7	8	9	10	11	12	#N/A	14	#N/A	16	17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	24	25
1	13	22/12/2003	13	6	10	5	8	14	3	11	16	15	9	17	19	7	23	0	3	#N/A	#N/A	3	#N/A	5	6	7	8	9	10	11	#N/A	13	14	15	16	17	#N/A	19	#N/A	#N/A	#N/A	23	#N/A	#N/A
1	14	29/12/2003	14	21	13	19	20	6	9	5	7	23	18	1	15	2	25	0	3	1	2	#N/A	#N/A	5	6	7	#N/A	9	#N/A	#N/A	#N/A	13	14	15	#N/A	#N/A	18	19	20	21	#N/A	23	#N/A	25
1	15	05/01/2004	23	6	21	4	10	24	16	1	15	2	8	19	12	18	25	0	22	1	2	#N/A	4	#N/A	6	#N/A	8	#N/A	10	#N/A	12	#N/A	#N/A	15	16	#N/A	18	19	#N/A	21	#N/A	23	24	25
1	16	12/01/2004	24	17	5	8	7	12	13	2	15	10	19	25	23	21	6	0	9	#N/A	2	#N/A	#N/A	5	6	7	8	#N/A	10	#N/A	12	13	#N/A	15	#N/A	17	#N/A	19	#N/A	21	#N/A	23	24	25
1	17	19/01/2004	13	20	17	1	6	7	2	14	5	9	16	19	3	21	18	0	1	1	2	3	#N/A	5	6	7	#N/A	9	#N/A	#N/A	#N/A	13	14	#N/A	16	17	18	19	20	21	#N/A	#N/A	#N/A	#N/A
1	18	26/01/2004	2	23	10	7	11	14	17	22	15	6	24	8	19	20	18	0	3	#N/A	#N/A	#N/A	#N/A	#N/A	6	7	8	#N/A	10	11	#N/A	#N/A	14	15	#N/A	17	18	19	20	#N/A	22	23	24	#N/A
1	19	02/02/2004	15	17	10	23	11	24	13	14	6	2	8	5	20	16	7	0	10	#N/A	2	#N/A	#N/A	5	6	7	8	#N/A	10	11	#N/A	13	14	15	16	17	#N/A	#N/A	20	#N/A	#N/A	23	24	#N/A
1	20	09/02/2004	4	9	8	24	16	20	3	17	18	19	7	6	23	14	10	0	9	#N/A	#N/A	3	4	#N/A	6	7	8	9	10	#N/A	#N/A	#N/A	14	#N/A	16	17	18	19	20	#N/A	#N/A	23	24	#N/A
1	21	16/02/2004	5	2	1	22	19	8	24	4	25	23	18	20	14	11	16	0	3	1	2	#N/A	4	5	#N/A	#N/A	8	#N/A	#N/A	11	#N/A	#N/A	14	#N/A	16	#N/A	18	19	20	#N/A	22	23	24	25
1	22	25/02/2004	13	15	5	9	7	10	1	3	22	2	25	14	6	4	12	0	1	1	2	3	4	5	6	7	#N/A	9	10	#N/A	12	13	14	15	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	#N/A	#N/A	25
1	23	01/03/2004	10	11	5	19	18	14	6	4	20	1	8	3	12	16	17	0	1	1	#N/A	3	4	5	6	#N/A	8	#N/A	10	11	12	#N/A	14	#N/A	16	17	18	19	20	#N/A	#N/A	#N/A	#N/A	#N/A
1	24	08/03/2004	1	19	21	14	2	23	25	5	20	11	7	10	24	17	3	0	2	1	2	3	#N/A	5	#N/A	7	#N/A	#N/A	10	11	#N/A	#N/A	14	#N/A	#N/A	17	#N/A	19	20	21	#N/A	23	24	25
1	25	15/03/2004	4	23	20	2	5	13	7	9	24	3	1	6	14	22	16	0	0	1	2	3	4	5	6	7	#N/A	9	#N/A	#N/A	#N/A	13	14	#N/A	16	#N/A	#N/A	#N/A	20	#N/A	22	23	24	#N/A
1	26	22/03/2004	19	11	7	16	8	21	5	10	20	13	23	9	17	14	22	0	3	#N/A	#N/A	#N/A	#N/A	5	#N/A	7	8	9	10	11	#N/A	13	14	#N/A	16	17	#N/A	19	20	21	22	23	#N/A	#N/A
1	27	29/03/2004	25	6	22	21	11	24	3	14	12	13	20	8	10	15	18	0	2	#N/A	#N/A	3	#N/A	#N/A	6	#N/A	8	#N/A	10	11	12	13	14	15	#N/A	#N/A	18	#N/A	20	21	22	#N/A	24	25
1	28	05/04/2004	18	21	11	7	9	3	20	16	14	12	13	17	1	19	10	0	2	1	#N/A	3	#N/A	#N/A	#N/A	7	#N/A	9	10	11	12	13	14	#N/A	16	17	18	19	20	21	#N/A	#N/A	#N/A	#N/A
1	29	12/04/2004	13	14	6	1	24	4	8	5	17	22	21	19	20	9	16	0	5	1	#N/A	#N/A	4	5	6	#N/A	8	9	#N/A	#N/A	#N/A	13	14	#N/A	16	17	#N/A	19	20	21	22	#N/A	24	#N/A
1	30	19/04/2004	22	2	1	17	8	4	19	20	11	14	6	21	7	23	3	0	2	1	2	3	4	#N/A	6	7	8	#N/A	#N/A	11	#N/A	#N/A	14	#N/A	#N/A	17	#N/A	19	20	21	22	23	#N/A	#N/A
1	31	26/04/2004	1	3	22	14	21	17	24	15	20	13	2	19	4	25	9	0	3	1	2	3	4	#N/A	#N/A	#N/A	#N/A	9	#N/A	#N/A	#N/A	13	14	15	#N/A	17	#N/A	19	20	21	22	#N/A	24	25
1	32	03/05/2004	10	14	9	16	15	7	22	6	4	2	1	17	23	11	20	0	2	1	2	#N/A	4	#N/A	6	7	#N/A	9	10	11	#N/A	#N/A	14	15	16	17	#N/A	#N/A	20	#N/A	22	23	#N/A	#N/A
1	33	10/05/2004	8	20	12	16	10	21	5	2	23	19	11	24	1	14	7	0	9	1	2	#N/A	#N/A	5	#N/A	7	8	#N/A	10	11	12	#N/A	14	#N/A	16	#N/A	#N/A	19	20	21	#N/A	23	24	#N/A
1	34	17/05/2004	7	19	16	10	23	4	18	11	8	9	20	21	1	2	15	0	0	1	2	#N/A	4	#N/A	#N/A	7	8	9	10	11	#N/A	#N/A	#N/A	15	16	#N/A	18	19	20	21	#N/A	23	#N/A	#N/A
